Method,Init_Method,AL_Method,Episode,TestAccuracy
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,63.08
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,62.99
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,64.95
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,71.41
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,72.11
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,74.63
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,74.01
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,74.71
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,76.41
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,77.11
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,78.72
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,63.08
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,68.28
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,69.19
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,72.29
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,75.33
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,74.92
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,74.33
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,76.15
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,75.88
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,76.82
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,77.93
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,63.08
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,64.07
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,65.07
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,69.63
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,70.62
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,67.44
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,73.19
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,72.9
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,71.59
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,77.38
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,77.08
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,63.08
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,63.31
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,66.33
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,69.54
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,71.62
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,73.9
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,73.46
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,76.53
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,75.65
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,77.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,78.22
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,63.08
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,66.68
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,71.35
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,72.76
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,71.38
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,73.11
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,74.22
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,75.1
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,76.0
