Method,Init_Method,AL_Method,Episode,TestAccuracy
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,95.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,91.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,92.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,91.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,95.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,91.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,92.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,92.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,91.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,92.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,81.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,92.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,95.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,95.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,95.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,96.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,96.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,81.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,83.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,91.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,93.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,93.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,93.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,81.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,91.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,93.0
