Method,Init_Method,AL_Method,Episode,TestAccuracy
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,40.8
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,42.49
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,50.66
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,55.75
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,55.65
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,60.03
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,60.34
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,61.96
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,62.14
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,66.24
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,65.55
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,40.8
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,45.96
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,52.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,50.44
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,58.15
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,57.48
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,60.19
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,62.34
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,61.85
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,63.24
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,64.69
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,40.8
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,41.32
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,48.72
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,48.48
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,54.93
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,56.24
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,58.72
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,58.74
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,58.54
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,60.68
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,62.71
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,27.63
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,40.72
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,51.12
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,53.57
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,54.21
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,55.78
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,57.99
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,59.91
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,59.15
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,62.31
