Method,Init_Method,AL_Method,Episode,TestAccuracy
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,40.8
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,46.03
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,44.8
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,56.31
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,57.03
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,57.19
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,60.17
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,61.76
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,63.74
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,65.51
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,67.35
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,40.8
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,48.04
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,51.22
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,55.55
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,57.81
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,59.87
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,61.16
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,62.74
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,63.92
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,63.98
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,63.93
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,40.8
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,42.49
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,50.66
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,55.75
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,55.65
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,60.03
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,60.34
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,61.96
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,62.14
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,66.24
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,65.55
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,40.8
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,45.96
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,52.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,50.44
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,58.15
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,57.48
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,60.19
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,62.34
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,61.85
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,63.24
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,64.69
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,40.8
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,41.32
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,48.72
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,48.48
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,54.93
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,56.24
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,58.72
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,58.74
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,58.54
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,60.68
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,62.71
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,27.63
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,38.03
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,40.33
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,48.34
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,53.02
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,55.44
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,56.87
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,59.78
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,57.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,60.39
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,64.38
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,27.63
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,40.72
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,51.12
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,53.57
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,54.21
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,55.78
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,57.99
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,59.91
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,59.15
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,62.31
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,63.92
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,27.63
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,47.44
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,50.67
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,52.89
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,55.11
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,58.19
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,56.51
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,58.94
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,63.22
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,65.4
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,65.61
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,27.63
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,36.65
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,46.55
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,46.6
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,49.09
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,54.87
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,55.32
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,59.94
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,61.9
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,62.26
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,65.22
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,27.63
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,32.26
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,49.83
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,52.99
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,51.82
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,53.86
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,58.06
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,58.36
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,59.57
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,61.49
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,63.02
