Method,Init_Method,AL_Method,Episode,TestAccuracy
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,76.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,80.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,84.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,86.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,76.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,79.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,83.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,83.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,86.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,76.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,80.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,84.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,84.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,84.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,86.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,65.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,70.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,79.0
