Method,Init_Method,AL_Method,Episode,TestAccuracy
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,38.59
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,37.08
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,43.48
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,36.62
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,57.76
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,52.77
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,60.19
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,60.82
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,56.88
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,54.57
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,55.06
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,38.59
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,48.9
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,52.05
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,54.21
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,52.2
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,57.05
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,51.59
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,67.28
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,60.15
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,60.07
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,63.29
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,38.59
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,49.69
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,56.25
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,49.12
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,46.91
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,48.3
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,47.38
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,63.2
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,65.91
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,64.28
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,66.04
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,15.84
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,13.76
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,29.05
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,40.14
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,47.74
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,48.79
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,55.85
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,58.13
