Method,Init_Method,AL_Method,Episode,TestAccuracy
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,80.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,83.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,86.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,80.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,83.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,86.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,82.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,82.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,91.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,80.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,80.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,83.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,86.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,86.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,86.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,83.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,84.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,80.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,83.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,10,80.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,82.0
