Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,63.08,63.08,63.08,63.08,63.08
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,64.07,66.68,63.31,68.28,62.99
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,65.07,71.35,66.33,69.19,64.95
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,69.63,72.76,69.54,72.29,71.41
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,70.62,71.38,71.62,75.33,72.11
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,67.44,73.11,73.9,74.92,74.63
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,73.19,74.22,73.46,74.33,74.01
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,72.9,75.1,76.53,76.15,74.71
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,71.59,76.0,75.65,75.88,76.41
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,77.38,77.2,77.0,76.82,77.11
Hard-to-Contrast_Random,Hard-to-Contrast,Random,120,77.08,79.22,78.22,77.93,78.72
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,45.13,45.13,45.13,45.13,45.13
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,59.57,62.5,60.07,52.18,55.04
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,65.57,68.87,63.72,69.92,63.05
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,68.61,67.29,68.34,71.41,67.67
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,72.64,72.7,68.9,72.29,73.22
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,74.6,75.3,68.78,75.62,75.59
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,74.1,75.8,67.38,78.66,76.88
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,74.71,77.26,72.55,79.6,77.11
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,75.8,76.85,73.43,79.07,77.61
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,75.65,77.87,73.75,77.99,78.31
Easy-to-Contrast_Random,Easy-to-Contrast,Random,120,77.2,77.2,76.26,79.57,79.13
Easy-to-Learn_Random,Easy-to-Learn,Random,20,18.24,18.24,18.24,18.24,18.24
Easy-to-Learn_Random,Easy-to-Learn,Random,30,30.05,29.58,37.59,42.74,30.69
