Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,60.77,60.77,60.77,60.77,60.77
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,64.31,66.44,66.91,63.26,63.05
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,66.71,69.19,70.15,65.89,67.49
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,71.18,70.83,73.05,65.89,70.59
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,72.05,72.79,77.0,68.61,74.83
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,72.99,72.11,75.68,71.24,76.09
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,73.63,72.52,76.5,70.13,76.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,75.48,74.86,77.29,71.97,76.32
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,75.12,75.91,78.81,73.9,78.31
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,75.53,75.15,78.16,75.04,78.54
Hard-to-Contrast_Random,Hard-to-Contrast,Random,120,76.5,75.71,79.68,76.67,78.11
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,37.18,37.18,37.18,37.18,37.18
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,46.27,52.47,62.67,49.46,54.4
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,56.77,58.87,64.89,62.85,58.55
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,63.87,64.02,68.05,58.93,62.58
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,65.71,66.24,70.01,61.79,60.13
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,68.93,69.95,70.13,68.34,71.35
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,73.81,72.96,72.17,68.66,72.87
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,75.39,72.32,74.77,74.1,74.19
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,74.86,71.97,75.1,75.77,74.04
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,76.73,75.48,77.61,77.9,75.36
Easy-to-Contrast_Random,Easy-to-Contrast,Random,120,77.99,76.94,77.49,80.5,77.17
Easy-to-Learn_Random,Easy-to-Learn,Random,20,18.24,18.24,18.24,18.24,18.24
Easy-to-Learn_Random,Easy-to-Learn,Random,30,44.64,35.49,33.59,44.46,40.54
Easy-to-Learn_Random,Easy-to-Learn,Random,40,54.17,43.73,52.5,48.32,57.59
Easy-to-Learn_Random,Easy-to-Learn,Random,50,61.59,55.22,54.14,55.13,59.05
Easy-to-Learn_Random,Easy-to-Learn,Random,60,62.76,61.15,62.55,61.59,64.13
Easy-to-Learn_Random,Easy-to-Learn,Random,70,65.54,62.44,63.43,64.98,66.21
