Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,88.0,88.0,88.0,88.0,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,89.0,88.0,88.0,89.0,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,90.0,91.0,90.0,89.0,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,91.0,92.0,91.0,90.0,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,92.0,93.0,92.0,94.0,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,91.0,93.0,93.0,94.0,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,93.0,93.0,92.0,94.0,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,93.0,93.0,94.0,93.0,93.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,93.0,94.0,94.0,93.0,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,94.0,94.0,94.0,94.0,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,120,95.0,94.0,94.0,95.0,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,81.0,81.0,81.0,81.0,81.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,83.0,87.0,88.0,91.0,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,87.0,91.0,89.0,93.0,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,91.0,89.0,89.0,93.0,92.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,93.0,93.0,89.0,94.0,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,93.0,94.0,88.0,94.0,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,93.0,94.0,89.0,95.0,95.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,94.0,95.0,92.0,95.0,95.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,94.0,94.0,93.0,95.0,95.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,94.0,95.0,93.0,94.0,96.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,120,94.0,95.0,96.0,95.0,96.0
Easy-to-Learn_Random,Easy-to-Learn,Random,20,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001
Easy-to-Learn_Random,Easy-to-Learn,Random,30,70.0,57.99999999999999,77.0,69.0,62.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,72.0,71.0,76.0,79.0,79.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,71.0,85.0,82.0,85.0,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,73.0,88.0,86.0,87.0,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,84.0,88.0,89.0,90.0,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,87.0,89.0,90.0,90.0,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,90.0,89.0,90.0,91.0,88.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,90.0,91.0,91.0,92.0,88.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,92.0,91.0,92.0,92.0,90.0
Easy-to-Learn_Random,Easy-to-Learn,Random,120,93.0,91.0,92.0,92.0,91.0
Consistency_Random,Consistency,Random,20,75.0,75.0,75.0,75.0,75.0
Consistency_Random,Consistency,Random,30,76.0,87.0,89.0,73.0,87.0
Consistency_Random,Consistency,Random,40,89.0,90.0,90.0,75.0,91.0
Consistency_Random,Consistency,Random,50,92.0,91.0,91.0,92.0,91.0
Consistency_Random,Consistency,Random,60,92.0,91.0,92.0,92.0,90.0
Consistency_Random,Consistency,Random,70,92.0,92.0,92.0,93.0,91.0
Consistency_Random,Consistency,Random,80,93.0,94.0,93.0,93.0,92.0
Consistency_Random,Consistency,Random,90,95.0,94.0,92.0,94.0,91.0
Consistency_Random,Consistency,Random,100,94.0,95.0,94.0,94.0,92.0
Consistency_Random,Consistency,Random,110,94.0,94.0,95.0,94.0,92.0
Consistency_Random,Consistency,Random,120,95.0,95.0,95.0,95.0,92.0
Entropy_Random,Entropy,Random,20,70.0,70.0,70.0,70.0,70.0
Entropy_Random,Entropy,Random,30,87.0,83.0,89.0,84.0,82.0
Entropy_Random,Entropy,Random,40,89.0,86.0,92.0,90.0,88.0
Entropy_Random,Entropy,Random,50,89.0,87.0,91.0,90.0,92.0
Entropy_Random,Entropy,Random,60,90.0,91.0,91.0,90.0,92.0
Entropy_Random,Entropy,Random,70,92.0,93.0,92.0,91.0,92.0
Entropy_Random,Entropy,Random,80,93.0,93.0,91.0,91.0,93.0
Entropy_Random,Entropy,Random,90,92.0,94.0,93.0,92.0,93.0
Entropy_Random,Entropy,Random,100,93.0,94.0,93.0,92.0,93.0
Entropy_Random,Entropy,Random,110,93.0,94.0,93.0,93.0,94.0
Entropy_Random,Entropy,Random,120,93.0,94.0,93.0,94.0,94.0
Margin_Random,Margin,Random,20,62.0,62.0,62.0,62.0,62.0
Margin_Random,Margin,Random,30,82.0,78.0,79.0,83.0,88.0
Margin_Random,Margin,Random,40,86.0,91.0,91.0,90.0,88.0
Margin_Random,Margin,Random,50,91.0,90.0,91.0,91.0,91.0
Margin_Random,Margin,Random,60,91.0,91.0,92.0,90.0,91.0
Margin_Random,Margin,Random,70,91.0,92.0,92.0,92.0,91.0
Margin_Random,Margin,Random,80,92.0,92.0,91.0,91.0,92.0
Margin_Random,Margin,Random,90,93.0,90.0,92.0,92.0,94.0
Margin_Random,Margin,Random,100,94.0,93.0,92.0,93.0,94.0
Margin_Random,Margin,Random,110,94.0,93.0,94.0,93.0,94.0
Margin_Random,Margin,Random,120,94.0,93.0,94.0,93.0,94.0
BALD_Random,BALD,Random,20,66.0,66.0,66.0,66.0,66.0
BALD_Random,BALD,Random,30,64.0,80.0,85.0,78.0,79.0
BALD_Random,BALD,Random,40,84.0,87.0,88.0,84.0,88.0
BALD_Random,BALD,Random,50,88.0,89.0,90.0,89.0,86.0
BALD_Random,BALD,Random,60,90.0,88.0,92.0,91.0,89.0
BALD_Random,BALD,Random,70,92.0,92.0,92.0,92.0,92.0
BALD_Random,BALD,Random,80,93.0,92.0,93.0,90.0,91.0
BALD_Random,BALD,Random,90,93.0,92.0,93.0,92.0,92.0
BALD_Random,BALD,Random,100,94.0,93.0,94.0,92.0,92.0
BALD_Random,BALD,Random,110,94.0,93.0,94.0,93.0,92.0
BALD_Random,BALD,Random,120,94.0,94.0,94.0,93.0,92.0
VAAL_Random,VAAL,Random,20,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001
VAAL_Random,VAAL,Random,30,73.0,71.0,56.99999999999999,69.0,73.0
VAAL_Random,VAAL,Random,40,79.0,82.0,75.0,87.0,79.0
VAAL_Random,VAAL,Random,50,83.0,82.0,80.0,89.0,84.0
VAAL_Random,VAAL,Random,60,85.0,86.0,82.0,90.0,87.0
VAAL_Random,VAAL,Random,70,87.0,85.0,82.0,89.0,91.0
VAAL_Random,VAAL,Random,80,89.0,86.0,80.0,89.0,90.0
VAAL_Random,VAAL,Random,90,90.0,90.0,81.0,91.0,92.0
VAAL_Random,VAAL,Random,100,90.0,90.0,83.0,92.0,92.0
VAAL_Random,VAAL,Random,110,91.0,92.0,86.0,93.0,93.0
VAAL_Random,VAAL,Random,120,92.0,93.0,85.0,93.0,92.0
Coreset_Random,Coreset,Random,20,77.0,77.0,77.0,77.0,77.0
Coreset_Random,Coreset,Random,30,79.0,79.0,88.0,83.0,86.0
Coreset_Random,Coreset,Random,40,85.0,86.0,89.0,89.0,89.0
Coreset_Random,Coreset,Random,50,87.0,89.0,91.0,91.0,91.0
Coreset_Random,Coreset,Random,60,84.0,91.0,92.0,93.0,91.0
Coreset_Random,Coreset,Random,70,89.0,92.0,92.0,92.0,93.0
Coreset_Random,Coreset,Random,80,89.0,92.0,92.0,92.0,91.0
Coreset_Random,Coreset,Random,90,94.0,92.0,93.0,92.0,92.0
Coreset_Random,Coreset,Random,100,93.0,93.0,94.0,94.0,93.0
Coreset_Random,Coreset,Random,110,94.0,93.0,94.0,94.0,92.0
Coreset_Random,Coreset,Random,120,95.0,94.0,94.0,94.0,94.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,88.0,88.0,88.0,88.0,88.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,90.0,90.0,88.0,87.0,86.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,92.0,90.0,93.0,91.0,89.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,93.0,89.0,94.0,93.0,93.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,60,93.0,94.0,91.0,90.0,89.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,70,0.0,0.0,93.0,0.0,91.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80,0.0,0.0,93.0,0.0,92.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,90,0.0,0.0,94.0,0.0,95.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,100,0.0,0.0,94.0,0.0,94.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,110,0.0,0.0,95.0,0.0,95.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,120,0.0,0.0,94.0,0.0,95.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,20,81.0,81.0,81.0,81.0,81.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,30,83.0,84.0,85.0,84.0,87.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,40,87.0,89.0,92.0,88.0,90.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,50,89.0,87.0,93.0,89.0,89.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,60,91.0,92.0,94.0,93.0,92.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,70,0.0,0.0,95.0,0.0,91.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,80,0.0,0.0,95.0,0.0,91.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,90,0.0,0.0,95.0,0.0,94.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,100,0.0,0.0,95.0,0.0,95.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,110,0.0,0.0,96.0,0.0,96.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,120,0.0,0.0,96.0,0.0,95.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,20,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,30,71.0,67.0,65.0,64.0,60.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,40,74.0,74.0,72.0,72.0,68.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,50,84.0,76.0,77.0,72.0,80.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,60,83.0,81.0,78.0,80.0,88.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,70,85.0,0.0,81.0,79.0,91.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,80,87.0,0.0,87.0,83.0,92.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,90,89.0,0.0,89.0,86.0,93.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,100,91.0,0.0,91.0,89.0,93.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,110,91.0,0.0,90.0,91.0,93.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,120,92.0,0.0,0.0,92.0,93.0
Consistency_Entropy,Consistency,Entropy,20,75.0,75.0,75.0,75.0,75.0
Consistency_Entropy,Consistency,Entropy,30,78.0,74.0,75.0,77.0,80.0
Consistency_Entropy,Consistency,Entropy,40,82.0,77.0,78.0,75.0,83.0
Consistency_Entropy,Consistency,Entropy,50,84.0,78.0,82.0,79.0,84.0
Consistency_Entropy,Consistency,Entropy,60,85.0,80.0,86.0,79.0,83.0
Consistency_Entropy,Consistency,Entropy,70,86.0,0.0,90.0,0.0,84.0
Consistency_Entropy,Consistency,Entropy,80,86.0,0.0,89.0,0.0,86.0
Consistency_Entropy,Consistency,Entropy,90,95.0,0.0,91.0,0.0,91.0
Consistency_Entropy,Consistency,Entropy,100,94.0,0.0,93.0,0.0,90.0
Consistency_Entropy,Consistency,Entropy,110,92.0,0.0,94.0,0.0,92.0
Consistency_Entropy,Consistency,Entropy,120,94.0,0.0,93.0,0.0,91.0
Entropy_Entropy,Entropy,Entropy,20,70.0,70.0,70.0,70.0,70.0
Entropy_Entropy,Entropy,Entropy,30,83.0,81.0,76.0,76.0,76.0
Entropy_Entropy,Entropy,Entropy,40,87.0,80.0,77.0,73.0,76.0
Entropy_Entropy,Entropy,Entropy,50,88.0,87.0,80.0,83.0,79.0
Entropy_Entropy,Entropy,Entropy,60,90.0,80.0,81.0,85.0,78.0
Entropy_Entropy,Entropy,Entropy,70,0.0,86.0,85.0,87.0,0.0
