Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,89,89,89,89,89
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,90,89,93,90,90
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,90,89,93,91,91
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,92,91,94,92,92
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,91,92,94,91,94
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,93,91,94,92,93
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,93,92,94,91,94
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,93,93,95,92,94
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,93,94,95,93,95
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,93,93,95,93,95
Hard-to-Contrast_Random,Hard-to-Contrast,Random,120,94,93,96,94,95
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,74,74,74,74,74
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,75,82,84,82,82
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,82,88,83,87,86
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,87,92,90,86,87
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,89,93,90,88,85
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,90,93,91,91,91
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,90,94,92,93,91
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,93,92,94,93,93
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,94,93,93,94,93
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,94,94,94,95,95
Easy-to-Contrast_Random,Easy-to-Contrast,Random,120,94,95,95,96,95
Easy-to-Learn_Random,Easy-to-Learn,Random,20,53,53,53,53,53
Easy-to-Learn_Random,Easy-to-Learn,Random,30,80,66,62,72,71
Easy-to-Learn_Random,Easy-to-Learn,Random,40,83,81,81,78,80
Easy-to-Learn_Random,Easy-to-Learn,Random,50,85,86,82,81,81
Easy-to-Learn_Random,Easy-to-Learn,Random,60,87,87,85,85,86
Easy-to-Learn_Random,Easy-to-Learn,Random,70,89,88,87,86,90
Easy-to-Learn_Random,Easy-to-Learn,Random,80,89,85,90,87,90
Easy-to-Learn_Random,Easy-to-Learn,Random,90,91,87,90,87,89
Easy-to-Learn_Random,Easy-to-Learn,Random,100,92,89,92,88,88
Easy-to-Learn_Random,Easy-to-Learn,Random,110,92,90,93,88,90
Easy-to-Learn_Random,Easy-to-Learn,Random,120,92,90,93,89,91
Consistency_Random,Consistency,Random,20,74,74,74,74,74
Consistency_Random,Consistency,Random,30,74,87,87,83,76
Consistency_Random,Consistency,Random,40,89,87,88,88,86
Consistency_Random,Consistency,Random,50,89,88,87,88,88
Consistency_Random,Consistency,Random,60,90,90,88,89,87
Consistency_Random,Consistency,Random,70,90,92,90,90,89
Consistency_Random,Consistency,Random,80,91,92,90,91,90
Consistency_Random,Consistency,Random,90,91,92,90,92,91
Consistency_Random,Consistency,Random,100,92,93,92,94,90
Consistency_Random,Consistency,Random,110,91,93,92,93,91
Consistency_Random,Consistency,Random,120,93,94,93,95,92
Entropy_Random,Entropy,Random,20,71,71,71,71,71
Entropy_Random,Entropy,Random,30,74,88,81,88,86
Entropy_Random,Entropy,Random,40,81,89,81,86,87
Entropy_Random,Entropy,Random,50,89,91,86,92,86
Entropy_Random,Entropy,Random,60,90,91,89,90,90
Entropy_Random,Entropy,Random,70,91,92,89,90,91
Entropy_Random,Entropy,Random,80,91,92,91,91,91
Entropy_Random,Entropy,Random,90,92,92,93,92,92
Entropy_Random,Entropy,Random,100,91,92,93,93,91
Entropy_Random,Entropy,Random,110,91,92,94,92,91
Entropy_Random,Entropy,Random,120,92,93,93,94,91
Margin_Random,Margin,Random,20,65,65,65,65,65
Margin_Random,Margin,Random,30,82,86,72,83,80
Margin_Random,Margin,Random,40,87,88,86,89,90
Margin_Random,Margin,Random,50,88,89,86,91,87
Margin_Random,Margin,Random,60,89,90,88,92,90
Margin_Random,Margin,Random,70,91,91,91,92,90
Margin_Random,Margin,Random,80,93,90,91,93,93
Margin_Random,Margin,Random,90,94,91,92,93,94
Margin_Random,Margin,Random,100,94,92,93,93,92
Margin_Random,Margin,Random,110,94,93,93,93,93
Margin_Random,Margin,Random,120,95,94,93,94,94
BALD_Random,BALD,Random,20,66,66,66,66,66
BALD_Random,BALD,Random,30,79,75,65,81,78
BALD_Random,BALD,Random,40,85,89,79,86,85
BALD_Random,BALD,Random,50,85,89,87,90,86
BALD_Random,BALD,Random,60,87,91,87,90,86
BALD_Random,BALD,Random,70,91,92,86,92,86
BALD_Random,BALD,Random,80,91,94,91,92,89
BALD_Random,BALD,Random,90,93,93,93,94,90
BALD_Random,BALD,Random,100,93,94,92,94,90
BALD_Random,BALD,Random,110,94,94,92,95,92
BALD_Random,BALD,Random,120,94,95,93,95,92
VAAL_Random,VAAL,Random,20,56,56,56,56,56
VAAL_Random,VAAL,Random,30,64,70,80,74,66
VAAL_Random,VAAL,Random,40,68,78,81,80,74
VAAL_Random,VAAL,Random,50,80,82,82,88,75
VAAL_Random,VAAL,Random,60,89,88,83,89,76
VAAL_Random,VAAL,Random,70,89,88,83,89,79
VAAL_Random,VAAL,Random,80,90,90,85,89,85
VAAL_Random,VAAL,Random,90,92,91,90,90,86
VAAL_Random,VAAL,Random,100,92,91,91,91,87
VAAL_Random,VAAL,Random,110,92,92,91,91,88
VAAL_Random,VAAL,Random,120,93,93,90,92,89
Coreset_Random,Coreset,Random,20,72,72,72,72,72
Coreset_Random,Coreset,Random,30,78,88,85,81,77
Coreset_Random,Coreset,Random,40,79,89,85,84,91
Coreset_Random,Coreset,Random,50,83,91,91,87,90
Coreset_Random,Coreset,Random,60,88,92,92,92,92
Coreset_Random,Coreset,Random,70,90,92,92,93,93
