Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Random_Entropy,Random,Entropy,20,72,72,72,72,72
Random_Entropy,Random,Entropy,30,74,73,75,73,75
Random_Entropy,Random,Entropy,40,76,74,76,74,77
Random_Entropy,Random,Entropy,50,77,79,78,76,78
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,73,73,73,73,73
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,75,74,78,79,78
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,78,76,81,77,82
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,82,80,83,81,84
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,20,69,69,69,69,69
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,30,71,74,71,75,77
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,40,74,77,73,78,80
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,50,75,76,76,79,83
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,20,64,64,64,64,64
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,30,63,63,68,68,65
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,40,69,65,69,73,70
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,50,75,70,73,76,72
Consistency_Entropy,Consistency,Entropy,20,72,72,72,72,72
Consistency_Entropy,Consistency,Entropy,30,76,77,75,75,78
Consistency_Entropy,Consistency,Entropy,40,78,83,72,80,79
Consistency_Entropy,Consistency,Entropy,50,80,85,75,83,82
Entropy_Entropy,Entropy,Entropy,20,64,64,64,64,64
Entropy_Entropy,Entropy,Entropy,30,67,69,66,69,70
Entropy_Entropy,Entropy,Entropy,40,69,72,70,73,72
Entropy_Entropy,Entropy,Entropy,50,71,73,73,74,75
Margin_Entropy,Margin,Entropy,20,70,70,70,70,70
Margin_Entropy,Margin,Entropy,30,68,73,71,70,74
Margin_Entropy,Margin,Entropy,40,69,74,75,72,73
Margin_Entropy,Margin,Entropy,50,72,79,77,75,76
BALD_Entropy,BALD,Entropy,20,61,61,61,61,61
BALD_Entropy,BALD,Entropy,30,66,60,71,63,67
BALD_Entropy,BALD,Entropy,40,69,63,76,74,65
BALD_Entropy,BALD,Entropy,50,73,67,79,78,74
VAAL_Entropy,VAAL,Entropy,20,62,62,62,62,62
VAAL_Entropy,VAAL,Entropy,30,67,66,63,66,66
VAAL_Entropy,VAAL,Entropy,40,69,64,67,72,70
VAAL_Entropy,VAAL,Entropy,50,73,69,73,75,73
Coreset_Entropy,Coreset,Entropy,20,66,66,66,66,66
Coreset_Entropy,Coreset,Entropy,30,69,64,68,71,69
Coreset_Entropy,Coreset,Entropy,40,72,69,70,76,72
Coreset_Entropy,Coreset,Entropy,50,76,73,77好,74,75
Random_Coreset,Random,Coreset,20,72,72,72,72,72
Random_Coreset,Random,Coreset,30,75,77,76,77,74
Random_Coreset,Random,Coreset,40,76,78,77,76,75
Random_Coreset,Random,Coreset,50,77,79,78,78,77
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,20,73,73,73,73,73
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,30,76,74,82,78,78
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,40,77,75,81,79,77
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,50,79,77,83,81,79
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,20,69,69,69,69,69
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,30,71,69,71,75,77
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,40,72,74,73,77,74
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,50,74,76,76,79,76
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,20,64,64,64,64,64
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,30,67,73,68,71,75
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,40,69,74,69,74,77
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,50,70,75,70,76,78
Consistency_Coreset,Consistency,Coreset,20,72,72,72,72,72
Consistency_Coreset,Consistency,Coreset,30,76,71,71,75,73
Consistency_Coreset,Consistency,Coreset,40,78,73,72,80,79
Consistency_Coreset,Consistency,Coreset,50,80,75,75,83,82
Entropy_Coreset,Entropy,Coreset,20,64,64,64,64,64
Entropy_Coreset,Entropy,Coreset,30,67,69,66,69,70
Entropy_Coreset,Entropy,Coreset,40,72,73,70,70,72
Entropy_Coreset,Entropy,Coreset,50,73,76,73,74,75
Margin_Coreset,Margin,Coreset,20,70,70,70,70,70
Margin_Coreset,Margin,Coreset,30,68,73,71,68,74
Margin_Coreset,Margin,Coreset,40,73,74,75,70,73
Margin_Coreset,Margin,Coreset,50,76,79,77,75,78
BALD_Coreset,BALD,Coreset,20,61,61,61,61,61
BALD_Coreset,BALD,Coreset,30,66,70,71,63,67
BALD_Coreset,BALD,Coreset,40,69,73,76,70,65
BALD_Coreset,BALD,Coreset,50,73,77,79,78,74
VAAL_Coreset,VAAL,Coreset,20,62,62,62,62,62
VAAL_Coreset,VAAL,Coreset,30,63,66,63,64,66
VAAL_Coreset,VAAL,Coreset,40,66,64,67,72,69
VAAL_Coreset,VAAL,Coreset,50,69,69,70,74,74
Coreset_Coreset,Coreset,Coreset,20,66,66,66,66,66
Coreset_Coreset,Coreset,Coreset,30,69,64,68,71,69
Coreset_Coreset,Coreset,Coreset,40,73,72,70,70,72
Coreset_Coreset,Coreset,Coreset,50,77,73,69,74,74
