Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,40.8,40.8,40.8,40.8,40.8
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,42.49,41.32,45.96,48.04,46.03
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,50.66,48.72,52.0,51.22,44.8
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,55.75,48.48,50.44,55.55,56.31
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,55.65,54.93,58.15,57.81,57.03
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,60.03,56.24,57.48,59.87,57.19
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,60.34,58.72,60.19,61.16,60.17
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,61.96,58.74,62.34,62.74,61.76
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,62.14,58.54,61.85,63.92,63.74
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,66.24,60.68,63.24,63.98,65.51
Hard-to-Contrast_Random,Hard-to-Contrast,Random,120,65.55,62.71,64.69,63.93,67.35
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,27.63,27.63,27.63,27.63,27.63
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,40.72,32.26,36.65,47.44,38.03
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,51.12,49.83,46.55,50.67,40.33
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,53.57,52.99,46.6,52.89,48.34
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,54.21,51.82,49.09,55.11,53.02
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,55.78,53.86,54.87,58.19,55.44
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,57.99,58.06,55.32,56.51,56.87
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,59.91,58.36,59.94,58.94,59.78
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,59.15,59.57,61.9,63.22,57.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,62.31,61.49,62.26,65.4,60.39
Easy-to-Contrast_Random,Easy-to-Contrast,Random,120,63.92,63.02,65.22,65.61,64.38
Easy-to-Learn_Random,Easy-to-Learn,Random,20,18.48,18.48,18.48,18.48,18.48
Easy-to-Learn_Random,Easy-to-Learn,Random,30,35.39,39.73,41.33,36.71,30.67
Easy-to-Learn_Random,Easy-to-Learn,Random,40,40.42,48.19,45.57,36.1,41.14
Easy-to-Learn_Random,Easy-to-Learn,Random,50,49.52,46.48,51.38,52.72,44.32
Easy-to-Learn_Random,Easy-to-Learn,Random,60,50.12,48.79,54.24,53.45,50.31
Easy-to-Learn_Random,Easy-to-Learn,Random,70,52.97,52.31,55.1,54.51,50.43
Easy-to-Learn_Random,Easy-to-Learn,Random,80,55.15,53.48,56.52,54.03,53.04
Easy-to-Learn_Random,Easy-to-Learn,Random,90,56.29,54.66,58.08,57.44,58.04
Easy-to-Learn_Random,Easy-to-Learn,Random,100,58.05,58.12,60.25,59.11,56.9
Easy-to-Learn_Random,Easy-to-Learn,Random,110,61.68,58.39,62.79,62.26,58.44
Easy-to-Learn_Random,Easy-to-Learn,Random,120,63.66,59.98,63.89,65.44,60.5
Consistency_Random,Consistency,Random,20,35.45,35.45,35.45,35.45,35.45
Consistency_Random,Consistency,Random,30,44.08,48.0,45.84,48.84,40.93
