Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,48.02,48.02,48.02,48.02,48.02
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,44.72,58.84,56.17,57.09,50.19
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,57.78,63.76,54.32,55.02,56.02
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,58.4,65.52,57.12,58.07,54.9
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,59.16,67.35,62.41,61.81,56.85
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,60.2,65.88,61.69,62.7,61.02
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,62.51,67.54,65.94,63.92,64.01
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,64.1,65.7,66.58,62.0,63.64
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,65.41,67.81,64.48,63.03,65.02
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,67.29,68.57,65.0,62.73,67.43
Hard-to-Contrast_Random,Hard-to-Contrast,Random,120,67.88,69.77,64.5,65.43,67.55
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,28.97,28.97,28.97,28.97,28.97
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,37.69,32.84,37.73,41.6,44.85
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,44.23,52.35,48.13,47.61,50.7
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,47.29,55.2,53.16,51.06,57.26
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,53.26,61.92,57.44,55.64,57.28
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,58.93,62.73,55.38,57.2,60.54
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,59.35,64.31,59.73,58.04,58.83
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,61.65,64.13,58.77,56.47,63.81
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,63.54,65.9,64.47,62.35,65.59
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,60.29,67.78,65.57,63.81,66.72
Easy-to-Contrast_Random,Easy-to-Contrast,Random,120,65.07,67.83,66.53,66.61,67.97
Easy-to-Learn_Random,Easy-to-Learn,Random,20,18.48,18.48,18.48,18.48,18.48
Easy-to-Learn_Random,Easy-to-Learn,Random,30,30.66,37.62,38.25,36.34,38.71
