Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,79.0,79.0,79.0,79.0,79.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,78.0,84.0,82.0,83.0,81.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,81.0,88.0,83.0,81.0,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,81.0,88.0,83.0,85.0,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,82.0,88.0,85.0,86.0,86.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,86.0,87.0,85.0,85.0,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,88.0,89.0,87.0,86.0,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,86.0,88.0,87.0,85.0,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,89.0,89.0,87.0,86.0,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,88.0,89.0,88.0,86.0,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,120,90.0,90.0,89.0,88.0,91.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,69.0,69.0,69.0,69.0,69.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,71.0,68.0,71.0,73.0,77.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,78.0,77.0,76.0,78.0,77.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,81.0,77.0,79.0,80.0,82.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,83.0,85.0,84.0,84.0,83.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,87.0,85.0,86.0,84.0,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,88.0,86.0,89.0,84.0,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,89.0,86.0,89.0,86.0,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,89.0,88.0,90.0,88.0,89.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,88.0,90.0,90.0,88.0,90.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,120,89.0,90.0,90.0,87.0,90.0
Easy-to-Learn_Random,Easy-to-Learn,Random,20,44.0,44.0,44.0,44.0,44.0
Easy-to-Learn_Random,Easy-to-Learn,Random,30,60.0,61.0,56.00000000000001,62.0,62.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,71.0,74.0,74.0,69.0,70.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,78.0,76.0,74.0,74.0,76.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,79.0,78.0,82.0,74.0,75.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,81.0,83.0,83.0,76.0,84.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,84.0,84.0,85.0,80.0,84.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,85.0,85.0,87.0,81.0,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,85.0,86.0,87.0,82.0,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,85.0,87.0,87.0,85.0,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,120,88.0,88.0,89.0,86.0,88.0
Consistency_Random,Consistency,Random,20,72.0,72.0,72.0,72.0,72.0
Consistency_Random,Consistency,Random,30,76.0,76.0,74.0,75.0,73.0
Consistency_Random,Consistency,Random,40,79.0,78.0,80.0,78.0,81.0
Consistency_Random,Consistency,Random,50,84.0,80.0,81.0,80.0,80.0
Consistency_Random,Consistency,Random,60,85.0,81.0,82.0,78.0,79.0
Consistency_Random,Consistency,Random,70,87.0,79.0,85.0,81.0,83.0
Consistency_Random,Consistency,Random,80,89.0,81.0,86.0,82.0,85.0
Consistency_Random,Consistency,Random,90,90.0,81.0,87.0,82.0,87.0
Consistency_Random,Consistency,Random,100,90.0,88.0,85.0,83.0,89.0
Consistency_Random,Consistency,Random,110,89.0,88.0,88.0,83.0,90.0
Consistency_Random,Consistency,Random,120,90.0,87.0,88.0,83.0,91.0
Entropy_Random,Entropy,Random,20,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001
Entropy_Random,Entropy,Random,30,68.0,73.0,64.0,60.0,72.0
Entropy_Random,Entropy,Random,40,69.0,74.0,80.0,71.0,69.0
Entropy_Random,Entropy,Random,50,72.0,76.0,78.0,81.0,77.0
Entropy_Random,Entropy,Random,60,73.0,80.0,79.0,83.0,81.0
Entropy_Random,Entropy,Random,70,80.0,80.0,79.0,86.0,81.0
Entropy_Random,Entropy,Random,80,84.0,82.0,82.0,86.0,81.0
Entropy_Random,Entropy,Random,90,85.0,81.0,88.0,88.0,81.0
Entropy_Random,Entropy,Random,100,86.0,86.0,90.0,87.0,84.0
Entropy_Random,Entropy,Random,110,86.0,89.0,90.0,89.0,87.0
Entropy_Random,Entropy,Random,120,87.0,89.0,91.0,90.0,87.0
Margin_Random,Margin,Random,20,70.0,70.0,70.0,70.0,70.0
Margin_Random,Margin,Random,30,78.0,75.0,74.0,74.0,76.0
Margin_Random,Margin,Random,40,81.0,75.0,80.0,77.0,78.0
Margin_Random,Margin,Random,50,81.0,77.0,84.0,82.0,85.0
Margin_Random,Margin,Random,60,81.0,78.0,86.0,87.0,86.0
Margin_Random,Margin,Random,70,81.0,84.0,87.0,89.0,86.0
Margin_Random,Margin,Random,80,81.0,84.0,88.0,90.0,88.0
Margin_Random,Margin,Random,90,84.0,85.0,88.0,91.0,87.0
Margin_Random,Margin,Random,100,85.0,88.0,87.0,91.0,88.0
Margin_Random,Margin,Random,110,84.0,90.0,90.0,91.0,88.0
Margin_Random,Margin,Random,120,88.0,90.0,90.0,92.0,88.0
BALD_Random,BALD,Random,20,61.0,61.0,61.0,61.0,61.0
BALD_Random,BALD,Random,30,62.0,67.0,78.0,71.0,70.0
BALD_Random,BALD,Random,40,70.0,75.0,74.0,72.0,76.0
BALD_Random,BALD,Random,50,81.0,80.0,78.0,80.0,78.0
BALD_Random,BALD,Random,60,80.0,85.0,78.0,83.0,80.0
BALD_Random,BALD,Random,70,85.0,86.0,81.0,84.0,82.0
BALD_Random,BALD,Random,80,85.0,87.0,82.0,84.0,83.0
BALD_Random,BALD,Random,90,87.0,88.0,88.0,85.0,84.0
BALD_Random,BALD,Random,100,89.0,90.0,89.0,88.0,85.0
BALD_Random,BALD,Random,110,90.0,89.0,88.0,89.0,88.0
BALD_Random,BALD,Random,120,90.0,90.0,89.0,90.0,89.0
VAAL_Random,VAAL,Random,20,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999
VAAL_Random,VAAL,Random,30,61.0,66.0,65.0,63.0,65.0
VAAL_Random,VAAL,Random,40,68.0,71.0,74.0,69.0,70.0
VAAL_Random,VAAL,Random,50,80.0,76.0,76.0,75.0,73.0
VAAL_Random,VAAL,Random,60,80.0,80.0,79.0,86.0,81.0
VAAL_Random,VAAL,Random,70,82.0,81.0,79.0,86.0,79.0
VAAL_Random,VAAL,Random,80,83.0,87.0,86.0,88.0,82.0
VAAL_Random,VAAL,Random,90,85.0,87.0,88.0,89.0,85.0
VAAL_Random,VAAL,Random,100,86.0,88.0,88.0,90.0,88.0
VAAL_Random,VAAL,Random,110,86.0,90.0,87.0,90.0,85.0
VAAL_Random,VAAL,Random,120,87.0,90.0,89.0,91.0,88.0
Coreset_Random,Coreset,Random,20,61.0,61.0,61.0,61.0,61.0
Coreset_Random,Coreset,Random,30,68.0,64.0,68.0,68.0,66.0
Coreset_Random,Coreset,Random,40,75.0,75.0,74.0,75.0,69.0
