Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,38.59,38.59,38.59,38.59,38.59
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,37.08,49.69,48.9,45.96,47.56
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,43.48,56.25,52.05,51.8,42.97
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,36.62,49.12,54.21,52.7,46.18
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,57.76,46.91,52.2,52.45,59.68
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,52.77,48.3,57.05,64.48,61.42
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,60.19,47.38,51.59,63.73,58.76
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,60.82,63.2,67.28,68.54,60.13
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,56.88,65.91,60.15,66.59,58.4
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,54.57,64.28,60.07,66.46,59.99
Hard-to-Contrast_Random,Hard-to-Contrast,Random,120,55.06,66.04,63.29,67.95,62.51
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,15.84,15.84,15.84,15.84,15.84
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,13.76,21.07,31.03,45.39,41.78
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,29.05,39.01,36.0,47.84,52.9
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,40.14,50.14,34.79,46.88,55.82
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,47.74,55.18,38.59,60.35,55.18
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,48.79,53.48,42.42,51.17,50.5
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,55.85,61.98,49.09,58.12,63.58
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,58.13,60.13,48.52,52.31,56.78
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,60.25,60.86,52.55,53.69,59.74
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,61.0,64.94,55.39,54.25,61.35
Easy-to-Contrast_Random,Easy-to-Contrast,Random,120,57.99,61.92,54.69,51.94,60.5
Easy-to-Learn_Random,Easy-to-Learn,Random,20,11.8,11.8,11.8,11.8,11.8
Easy-to-Learn_Random,Easy-to-Learn,Random,30,36.85,23.47,20.1,29.65,38.69
Easy-to-Learn_Random,Easy-to-Learn,Random,40,41.91,40.78,24.61,56.92,33.87
Easy-to-Learn_Random,Easy-to-Learn,Random,50,49.82,56.45,42.26,56.56,44.55
Easy-to-Learn_Random,Easy-to-Learn,Random,60,52.87,58.89,38.83,57.05,44.57
Easy-to-Learn_Random,Easy-to-Learn,Random,70,57.95,50.85,44.9,53.8,45.39
Easy-to-Learn_Random,Easy-to-Learn,Random,80,50.84,48.61,49.42,54.65,40.7
Easy-to-Learn_Random,Easy-to-Learn,Random,90,51.46,47.41,50.15,55.0,44.04
Easy-to-Learn_Random,Easy-to-Learn,Random,100,53.04,46.94,55.89,55.13,48.47
Easy-to-Learn_Random,Easy-to-Learn,Random,110,54.9,53.97,57.6,56.75,46.78
Easy-to-Learn_Random,Easy-to-Learn,Random,120,58.11,60.86,58.66,57.38,46.04
Consistency_Random,Consistency,Random,20,32.65,32.65,32.65,32.65,32.65
Consistency_Random,Consistency,Random,30,32.63,40.45,44.58,38.11,37.66
Consistency_Random,Consistency,Random,40,39.92,42.3,43.31,33.5,53.23
Consistency_Random,Consistency,Random,50,47.92,39.61,58.96,31.56,49.47
Consistency_Random,Consistency,Random,60,41.49,54.47,52.02,35.81,53.05
Consistency_Random,Consistency,Random,70,44.74,57.94,59.26,48.01,50.07
Consistency_Random,Consistency,Random,80,51.63,59.94,59.65,57.26,51.96
Consistency_Random,Consistency,Random,90,49.75,61.14,60.91,56.62,51.04
Consistency_Random,Consistency,Random,100,56.04,59.43,57.03,54.39,53.69
Consistency_Random,Consistency,Random,110,48.01,60.29,58.05,55.92,58.4
Consistency_Random,Consistency,Random,120,48.52,60.77,57.19,48.97,57.81
Entropy_Random,Entropy,Random,20,4.92,4.92,4.92,4.92,4.92
Entropy_Random,Entropy,Random,30,30.78,30.38,23.12,22.47,45.92
Entropy_Random,Entropy,Random,40,29.65,48.26,41.73,43.65,45.68
Entropy_Random,Entropy,Random,50,33.97,49.22,46.07,52.37,50.99
Entropy_Random,Entropy,Random,60,39.85,46.27,54.67,52.38,54.64
Entropy_Random,Entropy,Random,70,38.34,46.71,53.51,52.92,56.03
Entropy_Random,Entropy,Random,80,42.83,49.51,58.36,57.19,54.67
Entropy_Random,Entropy,Random,90,51.07,36.53,56.69,62.41,55.14
Entropy_Random,Entropy,Random,100,51.89,54.48,57.88,55.99,54.46
Entropy_Random,Entropy,Random,110,46.94,59.82,54.75,62.8,56.55
Entropy_Random,Entropy,Random,120,51.34,57.69,48.09,64.69,51.89
Margin_Random,Margin,Random,20,32.6,32.6,32.6,32.6,32.6
Margin_Random,Margin,Random,30,35.42,36.49,45.82,45.19,47.48
Margin_Random,Margin,Random,40,44.57,50.18,50.45,53.84,42.88
Margin_Random,Margin,Random,50,41.14,58.06,60.85,57.58,44.69
Margin_Random,Margin,Random,60,44.79,56.87,53.45,58.2,51.75
Margin_Random,Margin,Random,70,42.03,55.85,55.4,60.17,43.68
Margin_Random,Margin,Random,80,46.21,55.32,58.62,60.18,41.21
Margin_Random,Margin,Random,90,55.95,57.01,61.95,64.65,47.23
Margin_Random,Margin,Random,100,58.62,60.6,64.44,65.58,45.47
Margin_Random,Margin,Random,110,55.39,60.08,66.38,65.67,52.01
Margin_Random,Margin,Random,120,55.67,62.67,65.28,68.08,56.23
BALD_Random,BALD,Random,20,5.31,5.31,5.31,5.31,5.31
BALD_Random,BALD,Random,30,25.97,28.51,26.57,10.93,25.46
BALD_Random,BALD,Random,40,41.02,36.94,38.57,24.65,35.22
BALD_Random,BALD,Random,50,41.23,43.3,50.33,28.12,44.36
BALD_Random,BALD,Random,60,42.37,53.57,53.37,28.09,45.0
BALD_Random,BALD,Random,70,54.37,51.21,58.04,40.43,43.89
BALD_Random,BALD,Random,80,54.71,54.69,60.6,37.6,43.68
BALD_Random,BALD,Random,90,56.63,60.36,57.42,36.43,51.78
BALD_Random,BALD,Random,100,52.62,59.68,56.5,42.27,54.37
BALD_Random,BALD,Random,110,51.69,65.45,57.31,51.95,54.64
BALD_Random,BALD,Random,120,54.18,67.4,57.65,54.25,55.67
VAAL_Random,VAAL,Random,20,11.8,11.8,11.8,11.8,11.8
VAAL_Random,VAAL,Random,30,40.68,21.49,39.48,34.44,20.42
VAAL_Random,VAAL,Random,40,39.64,25.84,38.05,39.14,29.04
VAAL_Random,VAAL,Random,50,47.8,34.87,43.2,51.42,29.3
VAAL_Random,VAAL,Random,60,55.47,52.7,45.65,51.63,34.92
VAAL_Random,VAAL,Random,70,52.74,50.74,45.0,50.7,40.43
VAAL_Random,VAAL,Random,80,55.93,52.86,50.33,46.5,44.78
VAAL_Random,VAAL,Random,90,54.55,52.86,49.94,40.77,47.13
VAAL_Random,VAAL,Random,100,48.7,48.37,50.03,51.38,48.89
