Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,58.33,58.33,58.33,58.33,58.33
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,54.99,49.94,57.02,52.37,51.09
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,57.45,53.94,66.17,56.03,58.12
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,54.42,58.51,62.69,60.17,60.46
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,56.7,58.96,58.69,63.76,55.25
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,61.53,64.99,69.01,59.37,54.53
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,65.07,62.99,72.83,63.23,55.53
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,72.02,67.77,76.34,61.85,57.4
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,71.31,65.43,72.23,64.0,55.32
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,69.05,68.13,71.77,63.93,55.78
Hard-to-Contrast_Random,Hard-to-Contrast,Random,120,70.77,69.43,73.45,65.82,60.72
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,18.22,18.22,18.22,18.22,18.22
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,28.54,48.84,36.31,27.2,26.57
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,33.7,60.08,51.21,30.99,35.25
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,47.08,66.53,52.76,37.6,49.53
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,56.99,67.69,58.01,48.61,66.94
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,58.05,72.41,52.98,49.09,63.68
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,57.66,71.7,57.87,54.79,65.54
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,56.8,69.05,52.41,58.02,65.97
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,61.78,71.82,56.95,55.17,65.24
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,65.82,71.02,57.8,61.32,58.8
Easy-to-Contrast_Random,Easy-to-Contrast,Random,120,62.86,69.76,62.87,67.09,63.33
Easy-to-Learn_Random,Easy-to-Learn,Random,20,11.8,11.8,11.8,11.8,11.8
Easy-to-Learn_Random,Easy-to-Learn,Random,30,43.38,45.74,20.47,42.23,22.44
Easy-to-Learn_Random,Easy-to-Learn,Random,40,42.65,51.64,28.58,55.63,43.38
Easy-to-Learn_Random,Easy-to-Learn,Random,50,44.0,43.93,41.46,56.27,45.57
Easy-to-Learn_Random,Easy-to-Learn,Random,60,42.84,56.92,42.55,55.11,50.36
Easy-to-Learn_Random,Easy-to-Learn,Random,70,48.38,58.11,47.12,53.61,54.9
Easy-to-Learn_Random,Easy-to-Learn,Random,80,55.08,56.18,49.42,49.58,58.96
Easy-to-Learn_Random,Easy-to-Learn,Random,90,54.05,60.03,48.22,53.09,57.21
Easy-to-Learn_Random,Easy-to-Learn,Random,100,54.15,57.41,48.02,55.03,56.24
Easy-to-Learn_Random,Easy-to-Learn,Random,110,60.56,59.79,50.29,60.65,57.86
Easy-to-Learn_Random,Easy-to-Learn,Random,120,58.76,59.99,55.54,59.43,58.69
Consistency_Random,Consistency,Random,20,40.75,40.75,40.75,40.75,40.75
Consistency_Random,Consistency,Random,30,51.23,45.95,50.39,50.92,56.62
Consistency_Random,Consistency,Random,40,56.49,48.66,51.6,54.4,59.25
Consistency_Random,Consistency,Random,50,56.99,50.43,53.82,64.99,63.84
Consistency_Random,Consistency,Random,60,56.96,53.38,58.11,63.31,60.07
Consistency_Random,Consistency,Random,70,65.11,59.92,65.14,68.38,63.8
Consistency_Random,Consistency,Random,80,64.72,54.72,66.71,65.91,64.94
Consistency_Random,Consistency,Random,90,66.16,62.58,66.56,65.5,62.13
Consistency_Random,Consistency,Random,100,67.74,61.89,59.64,68.01,66.06
Consistency_Random,Consistency,Random,110,65.7,63.38,62.99,67.69,66.59
Consistency_Random,Consistency,Random,120,69.68,62.49,66.5,70.61,64.65
Entropy_Random,Entropy,Random,20,5.07,5.07,5.07,5.07,5.07
Entropy_Random,Entropy,Random,30,17.76,23.58,27.26,24.74,31.99
Entropy_Random,Entropy,Random,40,33.52,34.48,41.11,30.21,57.8
Entropy_Random,Entropy,Random,50,50.95,39.92,46.7,42.13,51.27
Entropy_Random,Entropy,Random,60,51.62,55.95,48.96,46.21,57.83
Entropy_Random,Entropy,Random,70,50.18,55.11,50.46,48.75,58.75
Entropy_Random,Entropy,Random,80,50.38,57.83,53.69,54.33,61.28
Entropy_Random,Entropy,Random,90,54.01,56.92,55.21,53.8,64.86
Entropy_Random,Entropy,Random,100,57.23,55.84,61.16,49.86,64.78
Entropy_Random,Entropy,Random,110,55.56,53.73,64.57,63.04,49.05
Entropy_Random,Entropy,Random,120,60.78,58.36,63.47,64.68,67.51
Margin_Random,Margin,Random,20,37.4,37.4,37.4,37.4,37.4
Margin_Random,Margin,Random,30,53.75,28.36,47.16,43.84,46.5
Margin_Random,Margin,Random,40,56.2,50.31,57.48,38.77,53.33
Margin_Random,Margin,Random,50,60.47,49.87,64.46,51.39,55.88
Margin_Random,Margin,Random,60,63.19,49.75,60.31,48.68,61.2
Margin_Random,Margin,Random,70,68.77,52.06,54.47,50.0,63.97
Margin_Random,Margin,Random,80,64.3,57.55,62.95,56.91,63.52
Margin_Random,Margin,Random,90,68.41,59.46,63.73,57.87,64.32
Margin_Random,Margin,Random,100,67.2,61.43,63.15,61.94,63.4
Margin_Random,Margin,Random,110,67.34,59.85,62.55,64.64,67.58
Margin_Random,Margin,Random,120,70.15,59.22,63.45,63.01,65.68
BALD_Random,BALD,Random,20,8.41,8.41,8.41,8.41,8.41
BALD_Random,BALD,Random,30,31.27,44.9,36.77,53.23,52.74
BALD_Random,BALD,Random,40,42.97,56.23,43.18,52.38,52.49
BALD_Random,BALD,Random,50,54.51,61.8,48.02,62.4,50.36
BALD_Random,BALD,Random,60,64.05,49.33,41.95,54.03,58.41
BALD_Random,BALD,Random,70,62.99,53.47,49.65,60.71,60.82
BALD_Random,BALD,Random,80,62.13,52.63,53.37,69.44,66.62
BALD_Random,BALD,Random,90,60.82,58.41,52.44,64.62,68.36
BALD_Random,BALD,Random,100,63.64,54.87,64.86,62.95,70.63
BALD_Random,BALD,Random,110,61.36,60.82,64.04,63.5,71.04
BALD_Random,BALD,Random,120,65.07,63.41,60.39,68.7,68.84
VAAL_Random,VAAL,Random,20,11.8,11.8,11.8,11.8,11.8
VAAL_Random,VAAL,Random,30,38.93,46.41,37.3,25.68,41.95
VAAL_Random,VAAL,Random,40,45.33,45.08,29.92,29.81,46.32
VAAL_Random,VAAL,Random,50,45.58,47.79,38.64,36.36,51.09
VAAL_Random,VAAL,Random,60,45.4,45.85,42.62,43.09,53.45
VAAL_Random,VAAL,Random,70,44.61,44.53,47.66,43.54,51.69
VAAL_Random,VAAL,Random,80,40.39,46.91,51.28,42.14,53.87
VAAL_Random,VAAL,Random,90,35.38,51.13,60.11,49.46,53.87
VAAL_Random,VAAL,Random,100,36.55,59.29,52.79,49.86,54.44
VAAL_Random,VAAL,Random,110,40.06,58.83,60.01,45.85,56.89
VAAL_Random,VAAL,Random,120,41.85,56.92,61.32,49.67,60.4
Coreset_Random,Coreset,Random,20,39.28,39.28,39.28,39.28,39.28
Coreset_Random,Coreset,Random,30,47.42,57.26,54.36,37.92,49.92
Coreset_Random,Coreset,Random,40,51.02,48.2,64.42,40.29,53.73
Coreset_Random,Coreset,Random,50,53.89,55.72,59.23,48.64,58.55
Coreset_Random,Coreset,Random,60,56.46,58.27,54.01,47.05,58.44
Coreset_Random,Coreset,Random,70,57.9,58.91,51.38,46.2,58.29
Coreset_Random,Coreset,Random,80,58.02,59.68,57.23,38.47,58.9
Coreset_Random,Coreset,Random,90,57.81,67.38,47.66,38.41,60.17
Coreset_Random,Coreset,Random,100,61.52,67.12,46.38,41.16,64.94
Coreset_Random,Coreset,Random,110,62.86,64.67,50.74,43.25,65.13
