Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,80.0,80.0,80.0,80.0,80.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,80.0,82.0,85.0,83.0,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,85.0,85.0,87.0,86.0,83.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,83.0,82.0,88.0,82.0,86.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,86.0,81.0,85.0,82.0,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,86.0,84.0,88.0,89.0,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,85.0,82.0,83.0,90.0,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,87.0,85.0,90.0,91.0,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,86.0,88.0,89.0,89.0,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,83.0,87.0,88.0,89.0,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,120,84.0,87.0,89.0,90.0,89.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,66.0,66.0,66.0,66.0,66.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,71.0,62.0,74.0,82.0,75.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,74.0,74.0,73.0,82.0,76.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,81.0,76.0,70.0,79.0,79.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,85.0,84.0,76.0,88.0,81.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,86.0,82.0,82.0,84.0,81.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,86.0,87.0,86.0,85.0,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,87.0,86.0,84.0,85.0,84.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,90.0,88.0,86.0,86.0,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,90.0,89.0,87.0,87.0,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,120,88.0,87.0,86.0,85.0,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,20,41.0,41.0,41.0,41.0,41.0
Easy-to-Learn_Random,Easy-to-Learn,Random,30,64.0,60.0,56.99999999999999,69.0,63.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,70.0,76.0,64.0,80.0,66.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,75.0,86.0,69.0,82.0,72.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,73.0,86.0,72.0,87.0,75.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,78.0,86.0,70.0,86.0,76.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,80.0,84.0,76.0,87.0,78.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,83.0,81.0,76.0,87.0,79.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,83.0,80.0,83.0,86.0,81.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,85.0,84.0,85.0,86.0,81.0
Easy-to-Learn_Random,Easy-to-Learn,Random,120,82.0,87.0,85.0,84.0,81.0
Consistency_Random,Consistency,Random,20,66.0,66.0,66.0,66.0,66.0
Consistency_Random,Consistency,Random,30,72.0,71.0,73.0,70.0,75.0
Consistency_Random,Consistency,Random,40,81.0,67.0,74.0,70.0,84.0
Consistency_Random,Consistency,Random,50,81.0,72.0,80.0,72.0,82.0
Consistency_Random,Consistency,Random,60,75.0,82.0,78.0,79.0,80.0
Consistency_Random,Consistency,Random,70,83.0,83.0,82.0,83.0,81.0
Consistency_Random,Consistency,Random,80,82.0,84.0,86.0,83.0,78.0
Consistency_Random,Consistency,Random,90,83.0,81.0,86.0,85.0,83.0
Consistency_Random,Consistency,Random,100,87.0,79.0,87.0,86.0,87.0
Consistency_Random,Consistency,Random,110,84.0,85.0,87.0,88.0,89.0
Consistency_Random,Consistency,Random,120,87.0,83.0,86.0,82.0,88.0
Entropy_Random,Entropy,Random,20,51.0,51.0,51.0,51.0,51.0
Entropy_Random,Entropy,Random,30,57.99999999999999,68.0,67.0,59.0,72.0
Entropy_Random,Entropy,Random,40,65.0,76.0,78.0,74.0,76.0
Entropy_Random,Entropy,Random,50,71.0,73.0,79.0,78.0,77.0
Entropy_Random,Entropy,Random,60,75.0,77.0,83.0,78.0,80.0
Entropy_Random,Entropy,Random,70,75.0,80.0,83.0,80.0,82.0
Entropy_Random,Entropy,Random,80,77.0,80.0,83.0,85.0,79.0
Entropy_Random,Entropy,Random,90,78.0,78.0,82.0,88.0,79.0
Entropy_Random,Entropy,Random,100,78.0,84.0,84.0,85.0,82.0
