Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Hard-to-Contrast_Random,Hard-to-Contrast,Random,63.08,62.99,64.95,71.41,72.11,74.63,74.01,74.71,76.41,77.11,78.72
Hard-to-Contrast_Random,Hard-to-Contrast,Random,63.08,68.28,69.19,72.29,75.33,74.92,74.33,76.15,75.88,76.82,77.93
Hard-to-Contrast_Random,Hard-to-Contrast,Random,63.08,64.07,65.07,69.63,70.62,67.44,73.19,72.9,71.59,77.38,77.08
Hard-to-Contrast_Random,Hard-to-Contrast,Random,63.08,63.31,66.33,69.54,71.62,73.9,73.46,76.53,75.65,77.0,78.22
Hard-to-Contrast_Random,Hard-to-Contrast,Random,63.08,66.68,71.35,72.76,71.38,73.11,74.22,75.1,76.0,77.2,79.22
Easy-to-Contrast_Random,Easy-to-Contrast,Random,45.13,55.04,63.05,67.67,73.22,75.59,76.88,77.11,77.61,78.31,79.13
Easy-to-Contrast_Random,Easy-to-Contrast,Random,45.13,59.57,65.57,68.61,72.64,74.6,74.1,74.71,75.8,75.65,77.2
Easy-to-Contrast_Random,Easy-to-Contrast,Random,45.13,52.18,69.92,71.41,72.29,75.62,78.66,79.6,79.07,77.99,79.57
Easy-to-Contrast_Random,Easy-to-Contrast,Random,45.13,60.07,63.72,68.34,68.9,68.78,67.38,72.55,73.43,73.75,76.26
Easy-to-Contrast_Random,Easy-to-Contrast,Random,45.13,62.5,68.87,67.29,72.7,75.3,75.8,77.26,76.85,77.87,77.2
Easy-to-Learn_Random,Easy-to-Learn,Random,18.24,37.59,51.36,60.45,64.83,70.1,70.56,71.76,75.62,75.68,76.09
Easy-to-Learn_Random,Easy-to-Learn,Random,18.24,42.74,51.33,61.91,65.13,67.06,68.46,71.91,73.72,74.83,75.21
Easy-to-Learn_Random,Easy-to-Learn,Random,18.24,30.69,41.8,59.16,67.09,68.63,69.19,71.82,72.81,69.95,72.76
Easy-to-Learn_Random,Easy-to-Learn,Random,18.24,29.58,48.2,61.33,65.95,68.25,70.86,72.2,75.42,75.74,76.09
Easy-to-Learn_Random,Easy-to-Learn,Random,18.24,30.05,33.32,37.68,48.41,58.46,67.11,68.46,68.11,70.97,73.95
Consistency_Random,Consistency,Random,39.61,43.99,48.14,65.1,71.91,73.63,73.02,75.48,77.2,77.96,79.68
Consistency_Random,Consistency,Random,39.61,53.99,65.45,67.03,58.64,69.89,72.26,71.35,74.04,75.36,74.22
Consistency_Random,Consistency,Random,39.61,54.87,67.52,74.22,71.27,73.98,78.14,80.01,79.13,78.05,79.48
Consistency_Random,Consistency,Random,39.61,62.93,65.74,67.17,71.32,72.46,75.83,75.3,77.43,78.49,77.96
Consistency_Random,Consistency,Random,39.61,53.29,65.68,70.21,69.31,73.4,74.48,77.58,74.95,76.09,78.98
Entropy_Random,Entropy,Random,31.92,45.92,58.61,67.49,69.16,69.19,75.91,73.87,75.91,77.2,77.32
Entropy_Random,Entropy,Random,31.92,55.71,65.36,63.96,67.55,68.61,70.27,71.27,73.87,75.21,73.05
Entropy_Random,Entropy,Random,31.92,58.52,62.35,66.53,67.93,72.99,73.19,74.39,76.12,75.65,77.26
Entropy_Random,Entropy,Random,31.92,43.93,51.8,58.49,64.07,66.82,70.39,71.94,72.29,73.4,76.47
Entropy_Random,Entropy,Random,31.92,50.13,61.5,61.71,67.32,69.07,70.71,72.08,72.32,73.17,72.17
Margin_Random,Margin,Random,28.85,49.14,61.94,63.84,64.54,71.38,70.51,71.59,74.28,76.26,76.47
Margin_Random,Margin,Random,28.85,51.71,61.62,67.06,69.04,70.24,68.72,74.54,74.98,76.41,75.53
Margin_Random,Margin,Random,28.85,48.17,61.39,63.2,67.0,70.01,72.03,71.38,73.49,74.51,77.29
Margin_Random,Margin,Random,28.85,54.14,58.4,67.47,69.1,68.05,70.97,74.1,74.95,75.86,77.55
Margin_Random,Margin,Random,28.85,49.75,53.46,63.67,63.14,64.25,68.49,72.35,75.53,74.25,77.11
BALD_Random,BALD,Random,28.12,43.47,55.45,54.63,62.41,70.13,70.53,71.76,72.64,73.34,74.6
BALD_Random,BALD,Random,28.12,45.89,59.63,62.2,64.6,71.79,73.6,75.01,76.88,76.15,79.51
BALD_Random,BALD,Random,28.12,25.99,57.06,62.23,68.23,69.54,71.97,76.0,75.88,77.78,76.76
BALD_Random,BALD,Random,28.12,49.37,63.87,67.11,68.78,70.68,72.87,73.87,76.62,75.59,78.02
BALD_Random,BALD,Random,28.12,50.66,58.29,58.9,67.93,70.74,70.04,74.28,74.71,77.02,76.97
VAAL_Random,VAAL,Random,13.74,44.81,48.73,52.35,54.17,62.35,67.99,68.78,71.18,70.33,72.93
VAAL_Random,VAAL,Random,13.74,39.52,44.23,54.4,56.3,67.03,67.44,69.92,71.65,75.27,74.16
VAAL_Random,VAAL,Random,13.74,40.69,53.41,56.77,66.27,64.69,67.47,71.0,72.14,74.16,74.98
VAAL_Random,VAAL,Random,13.74,42.24,52.59,60.57,61.62,62.03,63.9,68.2,69.37,71.65,73.43
VAAL_Random,VAAL,Random,13.74,36.19,40.49,53.87,62.5,63.49,62.88,65.33,67.38,67.29,68.63
Coreset_Random,Coreset,Random,36.6,52.24,60.25,60.42,67.67,70.48,72.43,74.71,74.95,76.91,78.19
Coreset_Random,Coreset,Random,36.6,58.11,67.47,68.84,68.37,73.78,72.93,74.71,76.44,74.8,77.43
Coreset_Random,Coreset,Random,36.6,42.68,51.45,55.19,56.07,58.78,61.85,72.11,71.59,75.07,76.32
Coreset_Random,Coreset,Random,36.6,56.18,65.16,69.1,70.83,72.93,73.66,75.65,76.76,79.01,77.61
Coreset_Random,Coreset,Random,36.6,46.86,68.55,70.59,72.26,72.0,74.83,76.47,78.11,77.43,77.52
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,63.08,64.13,64.81,73.87,73.78,,,,,,
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,63.08,62.38,64.6,69.77,71.06,,,,,,
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,63.08,61.85,66.94,71.44,70.86,,,,,,
