Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Hard-to-Contrast_Random,Hard-to-Contrast,Random,88.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,88.0,89.0,89.0,90.0,94.0,94.0,94.0,93.0,93.0,94.0,95.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,88.0,89.0,90.0,91.0,92.0,91.0,93.0,93.0,93.0,94.0,95.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,88.0,88.0,90.0,91.0,92.0,93.0,92.0,94.0,94.0,94.0,94.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,88.0,88.0,91.0,92.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,81.0,85.0,85.0,92.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,81.0,83.0,87.0,91.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,81.0,91.0,93.0,93.0,94.0,94.0,95.0,95.0,95.0,94.0,95.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,81.0,88.0,89.0,89.0,89.0,88.0,89.0,92.0,93.0,93.0,96.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,81.0,87.0,91.0,89.0,93.0,94.0,94.0,95.0,94.0,95.0,95.0
Easy-to-Learn_Random,Easy-to-Learn,Random,56.00000000000001,77.0,76.0,82.0,86.0,89.0,90.0,90.0,91.0,92.0,92.0
Easy-to-Learn_Random,Easy-to-Learn,Random,56.00000000000001,69.0,79.0,85.0,87.0,90.0,90.0,91.0,92.0,92.0,92.0
Easy-to-Learn_Random,Easy-to-Learn,Random,56.00000000000001,62.0,79.0,85.0,85.0,87.0,87.0,88.0,88.0,90.0,91.0
Easy-to-Learn_Random,Easy-to-Learn,Random,56.00000000000001,57.99999999999999,71.0,85.0,88.0,88.0,89.0,89.0,91.0,91.0,91.0
Easy-to-Learn_Random,Easy-to-Learn,Random,56.00000000000001,70.0,72.0,71.0,73.0,84.0,87.0,90.0,90.0,92.0,93.0
Consistency_Random,Consistency,Random,75.0,73.0,75.0,92.0,92.0,93.0,93.0,94.0,94.0,94.0,95.0
Consistency_Random,Consistency,Random,75.0,87.0,91.0,91.0,90.0,91.0,92.0,91.0,92.0,92.0,92.0
Consistency_Random,Consistency,Random,75.0,87.0,90.0,91.0,91.0,92.0,94.0,94.0,95.0,94.0,95.0
Consistency_Random,Consistency,Random,75.0,89.0,90.0,91.0,92.0,92.0,93.0,92.0,94.0,95.0,95.0
Consistency_Random,Consistency,Random,75.0,76.0,89.0,92.0,92.0,92.0,93.0,95.0,94.0,94.0,95.0
Entropy_Random,Entropy,Random,70.0,82.0,88.0,92.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0
Entropy_Random,Entropy,Random,70.0,89.0,92.0,91.0,91.0,92.0,91.0,93.0,93.0,93.0,93.0
Entropy_Random,Entropy,Random,70.0,83.0,86.0,87.0,91.0,93.0,93.0,94.0,94.0,94.0,94.0
Entropy_Random,Entropy,Random,70.0,84.0,90.0,90.0,90.0,91.0,91.0,92.0,92.0,93.0,94.0
Entropy_Random,Entropy,Random,70.0,87.0,89.0,89.0,90.0,92.0,93.0,92.0,93.0,93.0,93.0
Margin_Random,Margin,Random,62.0,83.0,90.0,91.0,90.0,92.0,91.0,92.0,93.0,93.0,93.0
Margin_Random,Margin,Random,62.0,79.0,91.0,91.0,92.0,92.0,91.0,92.0,92.0,94.0,94.0
Margin_Random,Margin,Random,62.0,78.0,91.0,90.0,91.0,92.0,92.0,90.0,93.0,93.0,93.0
Margin_Random,Margin,Random,62.0,88.0,88.0,91.0,91.0,91.0,92.0,94.0,94.0,94.0,94.0
Margin_Random,Margin,Random,62.0,82.0,86.0,91.0,91.0,91.0,92.0,93.0,94.0,94.0,94.0
BALD_Random,BALD,Random,66.0,79.0,88.0,86.0,89.0,92.0,91.0,92.0,92.0,92.0,92.0
BALD_Random,BALD,Random,66.0,80.0,87.0,89.0,88.0,92.0,92.0,92.0,93.0,93.0,94.0
BALD_Random,BALD,Random,66.0,64.0,84.0,88.0,90.0,92.0,93.0,93.0,94.0,94.0,94.0
BALD_Random,BALD,Random,66.0,85.0,88.0,90.0,92.0,92.0,93.0,93.0,94.0,94.0,94.0
BALD_Random,BALD,Random,66.0,78.0,84.0,89.0,91.0,92.0,90.0,92.0,92.0,93.0,93.0
VAAL_Random,VAAL,Random,56.00000000000001,73.0,79.0,83.0,85.0,87.0,89.0,90.0,90.0,91.0,92.0
VAAL_Random,VAAL,Random,56.00000000000001,73.0,79.0,84.0,87.0,91.0,90.0,92.0,92.0,93.0,92.0
VAAL_Random,VAAL,Random,56.00000000000001,71.0,82.0,82.0,86.0,85.0,86.0,90.0,90.0,92.0,93.0
VAAL_Random,VAAL,Random,56.00000000000001,69.0,87.0,89.0,90.0,89.0,89.0,91.0,92.0,93.0,93.0
VAAL_Random,VAAL,Random,56.00000000000001,56.99999999999999,75.0,80.0,82.0,82.0,80.0,81.0,83.0,86.0,85.0
Coreset_Random,Coreset,Random,77.0,79.0,86.0,89.0,91.0,92.0,92.0,92.0,93.0,93.0,94.0
Coreset_Random,Coreset,Random,77.0,86.0,89.0,91.0,91.0,93.0,91.0,92.0,93.0,92.0,94.0
Coreset_Random,Coreset,Random,77.0,79.0,85.0,87.0,84.0,89.0,89.0,94.0,93.0,94.0,95.0
Coreset_Random,Coreset,Random,77.0,88.0,89.0,91.0,92.0,92.0,92.0,93.0,94.0,94.0,94.0
Coreset_Random,Coreset,Random,77.0,83.0,89.0,91.0,93.0,92.0,92.0,92.0,94.0,94.0,94.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,88.0,90.0,92.0,93.0,93.0,,,,,,
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,88.0,90.0,90.0,89.0,94.0,,,,,,
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,88.0,87.0,91.0,93.0,90.0,,,,,,
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,88.0,86.0,89.0,93.0,89.0,91.0,92.0,95.0,94.0,95.0,95.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,88.0,88.0,93.0,94.0,91.0,93.0,93.0,94.0,94.0,95.0,94.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,81.0,87.0,90.0,89.0,92.0,91.0,91.0,94.0,95.0,96.0,95.0
