Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40.8,46.03,44.8,56.31,57.03,57.19,60.17,61.76,63.74,65.51,67.35
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40.8,48.04,51.22,55.55,57.81,59.87,61.16,62.74,63.92,63.98,63.93
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40.8,42.49,50.66,55.75,55.65,60.03,60.34,61.96,62.14,66.24,65.55
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40.8,45.96,52.0,50.44,58.15,57.48,60.19,62.34,61.85,63.24,64.69
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40.8,41.32,48.72,48.48,54.93,56.24,58.72,58.74,58.54,60.68,62.71
Easy-to-Contrast_Random,Easy-to-Contrast,Random,27.63,38.03,40.33,48.34,53.02,55.44,56.87,59.78,57.0,60.39,64.38
Easy-to-Contrast_Random,Easy-to-Contrast,Random,27.63,40.72,51.12,53.57,54.21,55.78,57.99,59.91,59.15,62.31,63.92
Easy-to-Contrast_Random,Easy-to-Contrast,Random,27.63,47.44,50.67,52.89,55.11,58.19,56.51,58.94,63.22,65.4,65.61
Easy-to-Contrast_Random,Easy-to-Contrast,Random,27.63,36.65,46.55,46.6,49.09,54.87,55.32,59.94,61.9,62.26,65.22
Easy-to-Contrast_Random,Easy-to-Contrast,Random,27.63,32.26,49.83,52.99,51.82,53.86,58.06,58.36,59.57,61.49,63.02
Easy-to-Learn_Random,Easy-to-Learn,Random,18.48,41.33,45.57,51.38,54.24,55.1,56.52,58.08,60.25,62.79,63.89
Easy-to-Learn_Random,Easy-to-Learn,Random,18.48,36.71,36.1,52.72,53.45,54.51,54.03,57.44,59.11,62.26,65.44
Easy-to-Learn_Random,Easy-to-Learn,Random,18.48,30.67,41.14,44.32,50.31,50.43,53.04,58.04,56.9,58.44,60.5
Easy-to-Learn_Random,Easy-to-Learn,Random,18.48,39.73,48.19,46.48,48.79,52.31,53.48,54.66,58.12,58.39,59.98
Easy-to-Learn_Random,Easy-to-Learn,Random,18.48,35.39,40.42,49.52,50.12,52.97,55.15,56.29,58.05,61.68,63.66
Consistency_Random,Consistency,Random,35.45,48.84,50.43,56.68,55.7,58.35,61.73,61.56,61.91,63.79,65.56
Consistency_Random,Consistency,Random,35.45,40.93,51.82,54.46,58.08,58.39,62.49,61.28,63.16,64.02,65.24
Consistency_Random,Consistency,Random,35.45,48.0,51.4,59.95,59.99,62.73,64.18,63.98,64.11,64.26,65.65
Consistency_Random,Consistency,Random,35.45,45.84,53.06,52.11,53.19,53.2,56.06,58.17,59.65,61.28,63.5
Consistency_Random,Consistency,Random,35.45,44.08,50.03,56.6,55.92,57.58,59.84,62.07,61.54,61.71,63.89
