Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Hard-to-Contrast_Random,Hard-to-Contrast,Random,76.0,78.0,79.0,83.0,86.0,85.0,86.0,86.0,89.0,91.0,91.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,76.0,80.0,80.0,81.0,87.0,86.0,88.0,89.0,89.0,89.0,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,76.0,80.0,84.0,86.0,85.0,87.0,87.0,87.0,88.0,89.0,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,76.0,79.0,83.0,83.0,86.0,87.0,88.0,89.0,88.0,89.0,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,76.0,80.0,84.0,84.0,85.0,85.0,84.0,86.0,87.0,88.0,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,65.0,65.0,71.0,77.0,80.0,83.0,83.0,86.0,86.0,88.0,89.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,65.0,70.0,79.0,78.0,79.0,81.0,83.0,85.0,86.0,87.0,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,65.0,72.0,75.0,82.0,84.0,86.0,86.0,86.0,88.0,89.0,89.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,65.0,72.0,77.0,79.0,81.0,84.0,86.0,86.0,87.0,88.0,90.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,65.0,66.0,79.0,81.0,79.0,79.0,82.0,83.0,84.0,87.0,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,49.0,64.0,73.0,80.0,80.0,81.0,82.0,81.0,86.0,87.0,88.0
Easy-to-Learn_Random,Easy-to-Learn,Random,49.0,62.0,59.0,81.0,81.0,81.0,79.0,81.0,81.0,87.0,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,49.0,66.0,68.0,73.0,73.0,73.0,78.0,86.0,84.0,85.0,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,49.0,66.0,74.0,75.0,74.0,80.0,82.0,83.0,85.0,85.0,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,49.0,60.0,67.0,78.0,80.0,83.0,83.0,82.0,85.0,86.0,87.0
Consistency_Random,Consistency,Random,70.0,75.0,76.0,83.0,84.0,84.0,84.0,86.0,85.0,86.0,87.0
Consistency_Random,Consistency,Random,70.0,73.0,79.0,81.0,79.0,80.0,86.0,87.0,88.0,88.0,89.0
Consistency_Random,Consistency,Random,70.0,75.0,79.0,84.0,83.0,86.0,86.0,86.0,86.0,87.0,86.0
Consistency_Random,Consistency,Random,70.0,77.0,79.0,79.0,79.0,84.0,84.0,85.0,86.0,87.0,88.0
Consistency_Random,Consistency,Random,70.0,74.0,77.0,78.0,78.0,79.0,82.0,82.0,83.0,82.0,83.0
Entropy_Random,Entropy,Random,56.00000000000001,65.0,66.0,72.0,77.0,82.0,84.0,85.0,86.0,87.0,88.0
Entropy_Random,Entropy,Random,56.00000000000001,68.0,72.0,83.0,83.0,83.0,85.0,85.0,87.0,88.0,88.0
