Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Hard-to-Contrast_Random,Hard-to-Contrast,Random,38.59,47.56,42.97,46.18,59.68,61.42,58.76,60.13,58.4,59.99,62.51
Hard-to-Contrast_Random,Hard-to-Contrast,Random,38.59,45.96,51.8,52.7,52.45,64.48,63.73,68.54,66.59,66.46,67.95
Hard-to-Contrast_Random,Hard-to-Contrast,Random,38.59,37.08,43.48,36.62,57.76,52.77,60.19,60.82,56.88,54.57,55.06
Hard-to-Contrast_Random,Hard-to-Contrast,Random,38.59,48.9,52.05,54.21,52.2,57.05,51.59,67.28,60.15,60.07,63.29
Hard-to-Contrast_Random,Hard-to-Contrast,Random,38.59,49.69,56.25,49.12,46.91,48.3,47.38,63.2,65.91,64.28,66.04
Easy-to-Contrast_Random,Easy-to-Contrast,Random,15.84,41.78,52.9,55.82,55.18,50.5,63.58,56.78,59.74,61.35,60.5
Easy-to-Contrast_Random,Easy-to-Contrast,Random,15.84,13.76,29.05,40.14,47.74,48.79,55.85,58.13,60.25,61.0,57.99
Easy-to-Contrast_Random,Easy-to-Contrast,Random,15.84,45.39,47.84,46.88,60.35,51.17,58.12,52.31,53.69,54.25,51.94
Easy-to-Contrast_Random,Easy-to-Contrast,Random,15.84,31.03,36.0,34.79,38.59,42.42,49.09,48.52,52.55,55.39,54.69
Easy-to-Contrast_Random,Easy-to-Contrast,Random,15.84,21.07,39.01,50.14,55.18,53.48,61.98,60.13,60.86,64.94,61.92
Easy-to-Learn_Random,Easy-to-Learn,Random,11.8,20.1,24.61,42.26,38.83,44.9,49.42,50.15,55.89,57.6,58.66
Easy-to-Learn_Random,Easy-to-Learn,Random,11.8,29.65,56.92,56.56,57.05,53.8,54.65,55.0,55.13,56.75,57.38
Easy-to-Learn_Random,Easy-to-Learn,Random,11.8,38.69,33.87,44.55,44.57,45.39,40.7,44.04,48.47,46.78,46.04
Easy-to-Learn_Random,Easy-to-Learn,Random,11.8,23.47,40.78,56.45,58.89,50.85,48.61,47.41,46.94,53.97,60.86
Easy-to-Learn_Random,Easy-to-Learn,Random,11.8,36.85,41.91,49.82,52.87,57.95,50.84,51.46,53.04,54.9,58.11
Consistency_Random,Consistency,Random,32.65,38.11,33.5,31.56,35.81,48.01,57.26,56.62,54.39,55.92,48.97
Consistency_Random,Consistency,Random,32.65,37.66,53.23,49.47,53.05,50.07,51.96,51.04,53.69,58.4,57.81
Consistency_Random,Consistency,Random,32.65,40.45,42.3,39.61,54.47,57.94,59.94,61.14,59.43,60.29,60.77
Consistency_Random,Consistency,Random,32.65,44.58,43.31,58.96,52.02,59.26,59.65,60.91,57.03,58.05,57.19
Consistency_Random,Consistency,Random,32.65,32.63,39.92,47.92,41.49,44.74,51.63,49.75,56.04,48.01,48.52
Entropy_Random,Entropy,Random,4.92,45.92,45.68,50.99,54.64,56.03,54.67,55.14,54.46,56.55,51.89
Entropy_Random,Entropy,Random,4.92,23.12,41.73,46.07,54.67,53.51,58.36,56.69,57.88,54.75,48.09
Entropy_Random,Entropy,Random,4.92,30.38,48.26,49.22,46.27,46.71,49.51,36.53,54.48,59.82,57.69
Entropy_Random,Entropy,Random,4.92,22.47,43.65,52.37,52.38,52.92,57.19,62.41,55.99,62.8,64.69
Entropy_Random,Entropy,Random,4.92,30.78,29.65,33.97,39.85,38.34,42.83,51.07,51.89,46.94,51.34
Margin_Random,Margin,Random,32.6,45.19,53.84,57.58,58.2,60.17,60.18,64.65,65.58,65.67,68.08
Margin_Random,Margin,Random,32.6,45.82,50.45,60.85,53.45,55.4,58.62,61.95,64.44,66.38,65.28
Margin_Random,Margin,Random,32.6,36.49,50.18,58.06,56.87,55.85,55.32,57.01,60.6,60.08,62.67
Margin_Random,Margin,Random,32.6,47.48,42.88,44.69,51.75,43.68,41.21,47.23,45.47,52.01,56.23
