Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80.0,87.0,83.0,86.0,88.0,88.0,87.0,89.0,88.0,87.0,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80.0,83.0,86.0,82.0,82.0,89.0,90.0,91.0,89.0,89.0,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80.0,80.0,85.0,83.0,86.0,86.0,85.0,87.0,86.0,83.0,84.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80.0,85.0,87.0,88.0,85.0,88.0,83.0,90.0,89.0,88.0,89.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80.0,82.0,85.0,82.0,81.0,84.0,82.0,85.0,88.0,87.0,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,66.0,75.0,76.0,79.0,81.0,81.0,86.0,84.0,87.0,87.0,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,66.0,71.0,74.0,81.0,85.0,86.0,86.0,87.0,90.0,90.0,88.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,66.0,82.0,82.0,79.0,88.0,84.0,85.0,85.0,86.0,87.0,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,66.0,74.0,73.0,70.0,76.0,82.0,86.0,84.0,86.0,87.0,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,66.0,62.0,74.0,76.0,84.0,82.0,87.0,86.0,88.0,89.0,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,41.0,56.99999999999999,64.0,69.0,72.0,70.0,76.0,76.0,83.0,85.0,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,41.0,69.0,80.0,82.0,87.0,86.0,87.0,87.0,86.0,86.0,84.0
Easy-to-Learn_Random,Easy-to-Learn,Random,41.0,63.0,66.0,72.0,75.0,76.0,78.0,79.0,81.0,81.0,81.0
Easy-to-Learn_Random,Easy-to-Learn,Random,41.0,60.0,76.0,86.0,86.0,86.0,84.0,81.0,80.0,84.0,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,41.0,64.0,70.0,75.0,73.0,78.0,80.0,83.0,83.0,85.0,82.0
Consistency_Random,Consistency,Random,66.0,70.0,70.0,72.0,79.0,83.0,83.0,85.0,86.0,88.0,82.0
Consistency_Random,Consistency,Random,66.0,75.0,84.0,82.0,80.0,81.0,78.0,83.0,87.0,89.0,88.0
Consistency_Random,Consistency,Random,66.0,71.0,67.0,72.0,82.0,83.0,84.0,81.0,79.0,85.0,83.0
Consistency_Random,Consistency,Random,66.0,73.0,74.0,80.0,78.0,82.0,86.0,86.0,87.0,87.0,86.0
Consistency_Random,Consistency,Random,66.0,72.0,81.0,81.0,75.0,83.0,82.0,83.0,87.0,84.0,87.0
Entropy_Random,Entropy,Random,51.0,72.0,76.0,77.0,80.0,82.0,79.0,79.0,82.0,80.0,80.0
Entropy_Random,Entropy,Random,51.0,67.0,78.0,79.0,83.0,83.0,83.0,82.0,84.0,85.0,83.0
Entropy_Random,Entropy,Random,51.0,68.0,76.0,73.0,77.0,80.0,80.0,78.0,84.0,84.0,84.0
Entropy_Random,Entropy,Random,51.0,59.0,74.0,78.0,78.0,80.0,85.0,88.0,85.0,88.0,88.0
Entropy_Random,Entropy,Random,51.0,57.99999999999999,65.0,71.0,75.0,75.0,77.0,78.0,78.0,78.0,80.0
Margin_Random,Margin,Random,67.0,71.0,79.0,82.0,82.0,86.0,86.0,87.0,87.0,87.0,90.0
Margin_Random,Margin,Random,67.0,71.0,79.0,83.0,80.0,80.0,82.0,84.0,87.0,88.0,87.0
Margin_Random,Margin,Random,67.0,75.0,80.0,82.0,83.0,84.0,83.0,85.0,85.0,87.0,86.0
Margin_Random,Margin,Random,67.0,75.0,74.0,72.0,76.0,79.0,77.0,83.0,81.0,83.0,85.0
Margin_Random,Margin,Random,67.0,76.0,81.0,80.0,77.0,73.0,76.0,80.0,84.0,82.0,83.0
BALD_Random,BALD,Random,43.0,61.0,70.0,75.0,79.0,78.0,78.0,80.0,85.0,83.0,82.0
BALD_Random,BALD,Random,43.0,62.0,68.0,77.0,85.0,82.0,83.0,87.0,87.0,85.0,86.0
BALD_Random,BALD,Random,43.0,63.0,75.0,77.0,75.0,83.0,83.0,82.0,84.0,83.0,86.0
BALD_Random,BALD,Random,43.0,70.0,73.0,80.0,82.0,83.0,80.0,81.0,77.0,77.0,83.0
BALD_Random,BALD,Random,43.0,53.0,66.0,66.0,70.0,72.0,73.0,69.0,82.0,83.0,85.0
VAAL_Random,VAAL,Random,49.0,60.0,66.0,80.0,83.0,81.0,82.0,83.0,83.0,82.0,82.0
VAAL_Random,VAAL,Random,49.0,59.0,68.0,68.0,73.0,72.0,80.0,82.0,83.0,85.0,85.0
